orderid,customerid,employeeid,orderdate,requireddate,shippeddate,shipperid,freight,productid,unitprice,quantity,discount,companyname,contactname,contacttitle,customercity,customercountry,employeename,title,employeecity,employeecountry,reportsto,categoryid,categoryname,description,productname,quantityperunit,productunitprice,discontinued,shippercompany
10248,VINET,5,7/4/2013,8/1/2013,7/16/2013,3,32.38,11,14,12,0,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Reims,France,Steven Buchanan,Sales Manager,London,UK,2,4,Dairy Products,Cheeses,Queso Cabrales,1 kg pkg.,21,0,Federal Shipping
10248,VINET,5,7/4/2013,8/1/2013,7/16/2013,3,32.38,42,9.8,10,0,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Reims,France,Steven Buchanan,Sales Manager,London,UK,2,5,Grains & Cereals,"Breads, crackers, pasta, and cereal",Singaporean Hokkien Fried Mee,32 - 1 kg pkgs.,14,1,Federal Shipping
10248,VINET,5,7/4/2013,8/1/2013,7/16/2013,3,32.38,72,34.8,5,0,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Reims,France,Steven Buchanan,Sales Manager,London,UK,2,4,Dairy Products,Cheeses,Mozzarella di Giovanni,24 - 200 g pkgs.,34.8,0,Federal Shipping
10249,TOMSP,6,7/5/2013,8/16/2013,7/10/2013,1,11.61,14,18.6,9,0,Toms SpezialitÃ¤ten,Karin Josephs,Marketing Manager,MÃ¼nster,Germany,Michael Suyama,Sales Representative,London,UK,5,7,Produce,Dried fruit and bean curd,Tofu,40 - 100 g pkgs.,23.25,0,Speedy Express
10249,TOMSP,6,7/5/2013,8/16/2013,7/10/2013,1,11.61,51,42.4,40,0,Toms SpezialitÃ¤ten,Karin Josephs,Marketing Manager,MÃ¼nster,Germany,Michael Suyama,Sales Representative,London,UK,5,7,Produce,Dried fruit and bean curd,Manjimup Dried Apples,50 - 300 g pkgs.,53,0,Speedy Express
10250,HANAR,4,7/8/2013,8/5/2013,7/12/2013,2,65.83,41,7.7,10,0,Hanari Carnes,Mario Pontes,Accounting Manager,Rio de Janeiro,Brazil,Margaret Peacock,Sales Representative,New York,USA,8,8,Seafood,Seaweed and fish,Jack's New England Clam Chowder,12 - 12 oz cans,9.65,0,United Package
10250,HANAR,4,7/8/2013,8/5/2013,7/12/2013,2,65.83,51,42.4,35,0.15,Hanari Carnes,Mario Pontes,Accounting Manager,Rio de Janeiro,Brazil,Margaret Peacock,Sales Representative,New York,USA,8,7,Produce,Dried fruit and bean curd,Manjimup Dried Apples,50 - 300 g pkgs.,53,0,United Package
10250,HANAR,4,7/8/2013,8/5/2013,7/12/2013,2,65.83,65,16.8,15,0.15,Hanari Carnes,Mario Pontes,Accounting Manager,Rio de Janeiro,Brazil,Margaret Peacock,Sales Representative,New York,USA,8,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",Louisiana Fiery Hot Pepper Sauce,32 - 8 oz bottles,21.05,0,United Package
10251,VICTE,3,7/8/2013,8/5/2013,7/15/2013,1,41.34,22,16.8,6,0.05,Victuailles en stock,Mary Saveley,Sales Agent,Lyon,France,Janet Leverling,Sales Representative,New York,USA,8,5,Grains & Cereals,"Breads, crackers, pasta, and cereal",Gustaf's KnackebrÃ¶d,24 - 500 g pkgs.,21,0,Speedy Express
10251,VICTE,3,7/8/2013,8/5/2013,7/15/2013,1,41.34,57,15.6,15,0.05,Victuailles en stock,Mary Saveley,Sales Agent,Lyon,France,Janet Leverling,Sales Representative,New York,USA,8,5,Grains & Cereals,"Breads, crackers, pasta, and cereal",Ravioli Angelo,24 - 250 g pkgs.,19.5,0,Speedy Express
10251,VICTE,3,7/8/2013,8/5/2013,7/15/2013,1,41.34,65,16.8,20,0,Victuailles en stock,Mary Saveley,Sales Agent,Lyon,France,Janet Leverling,Sales Representative,New York,USA,8,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",Louisiana Fiery Hot Pepper Sauce,32 - 8 oz bottles,21.05,0,Speedy Express
10252,SUPRD,4,7/9/2013,8/6/2013,7/11/2013,2,51.3,20,64.8,40,0.05,SuprÃªmes dÃ©lices,Pascale Cartrain,Accounting Manager,Charleroi,Belgium,Margaret Peacock,Sales Representative,New York,USA,8,3,Confections,"Desserts, candies, and sweet breads",Sir Rodney's Marmalade,30 gift boxes,81,0,United Package
10252,SUPRD,4,7/9/2013,8/6/2013,7/11/2013,2,51.3,33,2,25,0.05,SuprÃªmes dÃ©lices,Pascale Cartrain,Accounting Manager,Charleroi,Belgium,Margaret Peacock,Sales Representative,New York,USA,8,4,Dairy Products,Cheeses,Geitost,500 g,2.5,0,United Package
10252,SUPRD,4,7/9/2013,8/6/2013,7/11/2013,2,51.3,60,27.2,40,0,SuprÃªmes dÃ©lices,Pascale Cartrain,Accounting Manager,Charleroi,Belgium,Margaret Peacock,Sales Representative,New York,USA,8,4,Dairy Products,Cheeses,Camembert Pierrot,15 - 300 g rounds,34,0,United Package
10253,HANAR,3,7/10/2013,7/24/2013,7/16/2013,2,58.17,31,10,20,0,Hanari Carnes,Mario Pontes,Accounting Manager,Rio de Janeiro,Brazil,Janet Leverling,Sales Representative,New York,USA,8,4,Dairy Products,Cheeses,Gorgonzola Telino,12 - 100 g pkgs,12.5,0,United Package
10253,HANAR,3,7/10/2013,7/24/2013,7/16/2013,2,58.17,39,14.4,42,0,Hanari Carnes,Mario Pontes,Accounting Manager,Rio de Janeiro,Brazil,Janet Leverling,Sales Representative,New York,USA,8,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",Chartreuse verte,750 cc per bottle,18,0,United Package
10253,HANAR,3,7/10/2013,7/24/2013,7/16/2013,2,58.17,49,16,40,0,Hanari Carnes,Mario Pontes,Accounting Manager,Rio de Janeiro,Brazil,Janet Leverling,Sales Representative,New York,USA,8,3,Confections,"Desserts, candies, and sweet breads",Maxilaku,24 - 50 g pkgs.,20,0,United Package
10254,CHOPS,5,7/11/2013,8/8/2013,7/23/2013,2,22.98,24,3.6,15,0.15,Chop-suey Chinese,Yang Wang,Owner,Bern,Switzerland,Steven Buchanan,Sales Manager,London,UK,2,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",Guarana Fantastica,12 - 355 ml cans,4.5,1,United Package
10254,CHOPS,5,7/11/2013,8/8/2013,7/23/2013,2,22.98,55,19.2,21,0.15,Chop-suey Chinese,Yang Wang,Owner,Bern,Switzerland,Steven Buchanan,Sales Manager,London,UK,2,6,Meat & Poultry,Prepared meats,PÃ¢tÃ© chinois,24 boxes x 2 pies,24,0,United Package
10254,CHOPS,5,7/11/2013,8/8/2013,7/23/2013,2,22.98,74,8,21,0,Chop-suey Chinese,Yang Wang,Owner,Bern,Switzerland,Steven Buchanan,Sales Manager,London,UK,2,7,Produce,Dried fruit and bean curd,Longlife Tofu,5 kg pkg.,10,0,United Package
10255,RICSU,9,7/12/2013,8/9/2013,7/15/2013,3,148.33,2,15.2,20,0,Richter Supermarkt,Michael Holz,Sales Manager,GenÃ¨ve,Switzerland,Anne Dodsworth,Sales Representative,London,UK,5,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",Chang,24 - 12 oz bottles,19,0,Federal Shipping
10255,RICSU,9,7/12/2013,8/9/2013,7/15/2013,3,148.33,16,13.9,35,0,Richter Supermarkt,Michael Holz,Sales Manager,GenÃ¨ve,Switzerland,Anne Dodsworth,Sales Representative,London,UK,5,3,Confections,"Desserts, candies, and sweet breads",Pavlova,32 - 500 g boxes,17.45,0,Federal Shipping
10255,RICSU,9,7/12/2013,8/9/2013,7/15/2013,3,148.33,36,15.2,25,0,Richter Supermarkt,Michael Holz,Sales Manager,GenÃ¨ve,Switzerland,Anne Dodsworth,Sales Representative,London,UK,5,8,Seafood,Seaweed and fish,Inlagd Sill,24 - 250 g  jars,19,0,Federal Shipping
10255,RICSU,9,7/12/2013,8/9/2013,7/15/2013,3,148.33,59,44,30,0,Richter Supermarkt,Michael Holz,Sales Manager,GenÃ¨ve,Switzerland,Anne Dodsworth,Sales Representative,London,UK,5,4,Dairy Products,Cheeses,Raclette Courdavault,5 kg pkg.,55,0,Federal Shipping
